R5310102,YEMP_STARTDATE.01~Y
R5310201,YEMP_STARTDATE.02~M
R5310202,YEMP_STARTDATE.02~Y
R5310301,YEMP_STARTDATE.03~M
R5310302,YEMP_STARTDATE.03~Y
R5310401,YEMP_STARTDATE.04~M
R5310402,YEMP_STARTDATE.04~Y
R5310501,YEMP_STARTDATE.05~M
R5310502,YEMP_STARTDATE.05~Y
R5310601,YEMP_STARTDATE.06~M
R5310602,YEMP_STARTDATE.06~Y
R5310701,YEMP_STARTDATE.07~M
R5310702,YEMP_STARTDATE.07~Y
R5310801,YEMP_STARTDATE.08~M
R5310802,YEMP_STARTDATE.08~Y
R5310901,YEMP_STARTDATE.09~M
R5310902,YEMP_STARTDATE.09~Y
R5311001,YEMP_STOPDATE.01~M
R5311002,YEMP_STOPDATE.01~Y
R5311101,YEMP_STOPDATE.02~M
R5311102,YEMP_STOPDATE.02~Y
R5311201,YEMP_STOPDATE.03~M
R5311202,YEMP_STOPDATE.03~Y
R5311301,YEMP_STOPDATE.04~M
R5311302,YEMP_STOPDATE.04~Y
R5311401,YEMP_STOPDATE.05~M
R5311402,YEMP_STOPDATE.05~Y
R5311501,YEMP_STOPDATE.06~M
R5311502,YEMP_STOPDATE.06~Y
R5311601,YEMP_STOPDATE.07~M
R5311602,YEMP_STOPDATE.07~Y
R5311701,YEMP_STOPDATE.08~M
R5311702,YEMP_STOPDATE.08~Y
R5311801,YEMP_STOPDATE.09~M
R5311802,YEMP_STOPDATE.09~Y
R5453700,CV_AGE_INT_DATE
R5464001,CV_HGC_0001
R5464100,CV_INCOME_GROSS_YR
R5471000,CV_HRLY_PAY.01
R5471100,CV_HRLY_PAY.02
R5471200,CV_HRLY_PAY.03
R5471300,CV_HRLY_PAY.04
R5471400,CV_HRLY_PAY.05
R5471500,CV_HRLY_PAY.06
R5471600,CV_HRLY_PAY.07
R5471700,CV_HRLY_PAY.08
R5471800,CV_HRLY_PAY.09
R5484100,CV_URBAN-RURAL
R6132100,YEMP-58500.01
R6132200,YEMP-58500.02
R6132300,YEMP-58500.03
R6132400,YEMP-58500.04
R6132500,YEMP-58500.05
R6132600,YEMP-58500.06
R6132700,YEMP-58500.07
R6395500,YEMP-101100.01
R6395600,YEMP-101100.02
R6395700,YEMP-101100.03
R6395800,YEMP-101100.04
R6395900,YEMP-101100.05
R6396000,YEMP-101100.06
R6396100,YEMP-101100.07
R6401500,YEMP-101200.01
R6401600,YEMP-101200.02
R6401700,YEMP-101200.03
R6401800,YEMP-101200.04
R6401900,YEMP-101200.05
R6402000,YEMP-101200.06
R6402100,YEMP-101200.07
R7051101,YEMP_STARTDATE.01~M
R7051102,YEMP_STARTDATE.01~Y
R7051201,YEMP_STARTDATE.02~M
R7051202,YEMP_STARTDATE.02~Y
R7051301,YEMP_STARTDATE.03~M
