R0000100,PUBID,PUBID_R0000100
S7522200,CV_HRLY_PAY.01,CV_HRLY_PAY.01_S7522200
S7522300,CV_HRLY_PAY.02,CV_HRLY_PAY.02_S7522300
S7522400,CV_HRLY_PAY.03,CV_HRLY_PAY.03_S7522400
S7522500,CV_HRLY_PAY.04,CV_HRLY_PAY.04_S7522500
S7522600,CV_HRLY_PAY.05,CV_HRLY_PAY.05_S7522600
S7522700,CV_HRLY_PAY.06,CV_HRLY_PAY.06_S7522700
S7522800,CV_HRLY_PAY.07,CV_HRLY_PAY.07_S7522800
S7522900,CV_HRLY_PAY.08,CV_HRLY_PAY.08_S7522900
S7523000,CV_HRLY_PAY.09,CV_HRLY_PAY.09_S7523000
S7537100,CV_URBAN-RURAL,CV_URBAN-RURAL_S7537100
S8009500,COW_YEMP-58500.01,COW_YEMP-58500.01_S8009500
S8009600,COW_YEMP-58500.02,COW_YEMP-58500.02_S8009600
S8009700,COW_YEMP-58500.03,COW_YEMP-58500.03_S8009700
S8009800,COW_YEMP-58500.04,COW_YEMP-58500.04_S8009800
S8009900,COW_YEMP-58500.05,COW_YEMP-58500.05_S8009900
S8010000,COW_YEMP-58500.06,COW_YEMP-58500.06_S8010000
S8010100,COW_YEMP-58500.07,COW_YEMP-58500.07_S8010100
S8010200,COW_YEMP-58500.08,COW_YEMP-58500.08_S8010200
S8010300,COW_YEMP-58500.09,COW_YEMP-58500.09_S8010300
S8231400,UNION_YEMP-101100.01,UNION_YEMP-101100.01_S8231400
S8231500,UNION_YEMP-101100.02,UNION_YEMP-101100.02_S8231500
S8231600,UNION_YEMP-101100.03,UNION_YEMP-101100.03_S8231600
S8231700,UNION_YEMP-101100.04,UNION_YEMP-101100.04_S8231700
S8231800,UNION_YEMP-101100.05,UNION_YEMP-101100.05_S8231800
S8231900,UNION_YEMP-101100.06,UNION_YEMP-101100.06_S8231900
S8232000,UNION_YEMP-101100.07,UNION_YEMP-101100.07_S8232000
S8232100,UNION_YEMP-101100.09,UNION_YEMP-101100.09_S8232100
S8241400,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_S8241400
S8241500,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_S8241500
S8241600,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_S8241600
S8241700,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_S8241700
S8241800,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_S8241800
S8241900,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_S8241900
S8242000,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_S8242000
S8242100,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_S8242100
S8844101,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_S8844101
S8844102,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_S8844102
S8844201,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_S8844201
S8844202,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_S8844202
S8844301,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_S8844301
S8844302,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_S8844302
S8844401,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_S8844401
S8844402,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_S8844402
S8844501,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_S8844501
S8844502,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_S8844502
S8844601,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_S8844601
S8844602,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_S8844602
S8844701,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_S8844701
S8844702,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_S8844702
S8844801,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_S8844801
S8844802,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_S8844802
S8844901,YEMP_STOPDATE.09~M,YEMP_STOPDATE.09~M_S8844901
S8844902,YEMP_STOPDATE.09~Y,YEMP_STOPDATE.09~Y_S8844902
S8862201,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_S8862201
S8862202,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_S8862202
S8862301,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_S8862301
S8862302,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_S8862302
S8862401,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_S8862401
S8862402,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_S8862402
S8862501,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_S8862501
S8862502,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_S8862502
S8862601,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_S8862601
S8862602,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_S8862602
S8862701,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_S8862701
S8862702,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_S8862702
S8862801,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_S8862801
S8862802,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_S8862802
S8862901,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_S8862901
S8862902,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_S8862902
S8863001,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_S8863001
S8863002,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_S8863002
T0008500,CV_AGE_INT_DATE,CV_AGE_INT_DATE_T0008500
T0014100,CV_INCOME_FAMILY,CV_INCOME_FAMILY_T0014100
T0022800,CV_HRLY_PAY.01,CV_HRLY_PAY.01_T0022800
T0022900,CV_HRLY_PAY.02,CV_HRLY_PAY.02_T0022900
T0023000,CV_HRLY_PAY.03,CV_HRLY_PAY.03_T0023000
T0023100,CV_HRLY_PAY.04,CV_HRLY_PAY.04_T0023100
T0023200,CV_HRLY_PAY.05,CV_HRLY_PAY.05_T0023200
T0023300,CV_HRLY_PAY.06,CV_HRLY_PAY.06_T0023300
T0023400,CV_HRLY_PAY.07,CV_HRLY_PAY.07_T0023400
T0023500,CV_HRLY_PAY.08,CV_HRLY_PAY.08_T0023500
T0033700,CV_URBAN-RURAL,CV_URBAN-RURAL_T0033700
T0411500,COW_YEMP-58500.01,COW_YEMP-58500.01_T0411500
T0411600,COW_YEMP-58500.02,COW_YEMP-58500.02_T0411600
T0411700,COW_YEMP-58500.03,COW_YEMP-58500.03_T0411700
T0411800,COW_YEMP-58500.04,COW_YEMP-58500.04_T0411800
T0411900,COW_YEMP-58500.05,COW_YEMP-58500.05_T0411900
T0412000,COW_YEMP-58500.06,COW_YEMP-58500.06_T0412000
T0412100,COW_YEMP-58500.07,COW_YEMP-58500.07_T0412100
T0412200,COW_YEMP-58500.08,COW_YEMP-58500.08_T0412200
T0639200,UNION_YEMP-101100.01,UNION_YEMP-101100.01_T0639200
T0639300,UNION_YEMP-101100.02,UNION_YEMP-101100.02_T0639300
T0639400,UNION_YEMP-101100.03,UNION_YEMP-101100.03_T0639400
T0639500,UNION_YEMP-101100.04,UNION_YEMP-101100.04_T0639500
T0639600,UNION_YEMP-101100.05,UNION_YEMP-101100.05_T0639600
T0639700,UNION_YEMP-101100.06,UNION_YEMP-101100.06_T0639700
T0639800,UNION_YEMP-101100.07,UNION_YEMP-101100.07_T0639800
T0639900,UNION_YEMP-101100.08,UNION_YEMP-101100.08_T0639900
T0653200,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_T0653200
T0653300,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_T0653300
T0653400,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_T0653400
T0653500,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_T0653500
T0653600,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_T0653600
T0653700,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_T0653700
T0653800,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_T0653800
T0653900,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_T0653900
T1259501,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_T1259501
T1259502,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_T1259502
T1259601,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_T1259601
T1259602,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_T1259602
T1259701,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_T1259701
T1259702,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_T1259702
T1259801,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_T1259801
T1259802,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_T1259802
T1259901,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_T1259901
T1259902,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_T1259902
T1260001,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_T1260001
T1260002,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_T1260002
T1260101,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_T1260101
T1260102,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_T1260102
T1260201,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_T1260201
T1260202,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_T1260202
T1277401,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_T1277401
T1277402,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_T1277402
T1277501,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_T1277501
T1277502,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_T1277502
T1277601,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_T1277601
T1277602,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_T1277602
T1277701,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_T1277701
T1277702,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_T1277702
T1277801,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_T1277801
T1277802,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_T1277802
T1277901,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_T1277901
T1277902,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_T1277902
T1278001,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_T1278001
T1278002,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_T1278002
T1278101,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_T1278101
T1278102,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_T1278102
T2011100,CV_AGE_INT_DATE,CV_AGE_INT_DATE_T2011100
T2016200,CV_INCOME_FAMILY,CV_INCOME_FAMILY_T2016200
T2017700,CV_HRLY_PAY.01,CV_HRLY_PAY.01_T2017700
T2017800,CV_HRLY_PAY.02,CV_HRLY_PAY.02_T2017800
T2017900,CV_HRLY_PAY.03,CV_HRLY_PAY.03_T2017900
T2018000,CV_HRLY_PAY.04,CV_HRLY_PAY.04_T2018000
T2018100,CV_HRLY_PAY.05,CV_HRLY_PAY.05_T2018100
T2018200,CV_HRLY_PAY.06,CV_HRLY_PAY.06_T2018200
T2018300,CV_HRLY_PAY.07,CV_HRLY_PAY.07_T2018300
T2018400,CV_HRLY_PAY.08,CV_HRLY_PAY.08_T2018400
T2021300,CV_URBAN-RURAL,CV_URBAN-RURAL_T2021300
T2440600,COW_YEMP-58500.01,COW_YEMP-58500.01_T2440600
T2440700,COW_YEMP-58500.02,COW_YEMP-58500.02_T2440700
T2440800,COW_YEMP-58500.03,COW_YEMP-58500.03_T2440800
T2440900,COW_YEMP-58500.04,COW_YEMP-58500.04_T2440900
T2441000,COW_YEMP-58500.05,COW_YEMP-58500.05_T2441000
T2441100,COW_YEMP-58500.06,COW_YEMP-58500.06_T2441100
T2441200,COW_YEMP-58500.07,COW_YEMP-58500.07_T2441200
T2441300,COW_YEMP-58500.08,COW_YEMP-58500.08_T2441300
T2680200,UNION_YEMP-101100.01,UNION_YEMP-101100.01_T2680200
T2680300,UNION_YEMP-101100.02,UNION_YEMP-101100.02_T2680300
T2680400,UNION_YEMP-101100.03,UNION_YEMP-101100.03_T2680400
T2680500,UNION_YEMP-101100.04,UNION_YEMP-101100.04_T2680500
T2680600,UNION_YEMP-101100.05,UNION_YEMP-101100.05_T2680600
T2680700,UNION_YEMP-101100.06,UNION_YEMP-101100.06_T2680700
T2680800,UNION_YEMP-101100.07,UNION_YEMP-101100.07_T2680800
T2680900,UNION_YEMP-101100.08,UNION_YEMP-101100.08_T2680900
T2692700,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_T2692700
T2692800,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_T2692800
T2692900,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_T2692900
T2693000,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_T2693000
T2693100,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_T2693100
T2693200,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_T2693200
T2693300,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_T2693300
T2693400,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_T2693400
T3346101,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_T3346101
T3346102,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_T3346102
T3346201,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_T3346201
T3346202,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_T3346202
T3346301,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_T3346301
T3346302,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_T3346302
T3346401,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_T3346401
T3346402,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_T3346402
T3346501,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_T3346501
T3346502,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_T3346502
T3346601,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_T3346601
T3346602,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_T3346602
T3346701,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_T3346701
T3346702,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_T3346702
T3346801,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_T3346801
T3346802,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_T3346802
T3364901,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_T3364901
T3364902,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_T3364902
T3365001,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_T3365001
T3365002,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_T3365002
T3365101,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_T3365101
T3365102,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_T3365102
T3365201,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_T3365201
T3365202,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_T3365202
T3365301,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_T3365301
T3365302,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_T3365302
T3365401,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_T3365401
T3365402,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_T3365402
T3365501,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_T3365501
T3365502,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_T3365502
T3365601,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_T3365601
T3365602,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_T3365602
T3601500,CV_AGE_INT_DATE,CV_AGE_INT_DATE_T3601500
T3606500,CV_INCOME_FAMILY,CV_INCOME_FAMILY_T3606500
T3608100,CV_HRLY_PAY.01,CV_HRLY_PAY.01_T3608100
T3608200,CV_HRLY_PAY.02,CV_HRLY_PAY.02_T3608200
T3608300,CV_HRLY_PAY.03,CV_HRLY_PAY.03_T3608300
T3608400,CV_HRLY_PAY.04,CV_HRLY_PAY.04_T3608400
T3608500,CV_HRLY_PAY.05,CV_HRLY_PAY.05_T3608500
T3608600,CV_HRLY_PAY.06,CV_HRLY_PAY.06_T3608600
T3608700,CV_HRLY_PAY.07,CV_HRLY_PAY.07_T3608700
T3608800,CV_HRLY_PAY.08,CV_HRLY_PAY.08_T3608800
T3608900,CV_HRLY_PAY.09,CV_HRLY_PAY.09_T3608900
T3612000,CV_URBAN-RURAL,CV_URBAN-RURAL_T3612000
T3945500,COW_YEMP-58500.01,COW_YEMP-58500.01_T3945500
T3945600,COW_YEMP-58500.02,COW_YEMP-58500.02_T3945600
T3945700,COW_YEMP-58500.03,COW_YEMP-58500.03_T3945700
T3945800,COW_YEMP-58500.04,COW_YEMP-58500.04_T3945800
T3945900,COW_YEMP-58500.05,COW_YEMP-58500.05_T3945900
T3946000,COW_YEMP-58500.06,COW_YEMP-58500.06_T3946000
T3946100,COW_YEMP-58500.07,COW_YEMP-58500.07_T3946100
T3946200,COW_YEMP-58500.08,COW_YEMP-58500.08_T3946200
T4164900,UNION_YEMP-101100.01,UNION_YEMP-101100.01_T4164900
T4165000,UNION_YEMP-101100.02,UNION_YEMP-101100.02_T4165000
T4165100,UNION_YEMP-101100.03,UNION_YEMP-101100.03_T4165100
T4165200,UNION_YEMP-101100.04,UNION_YEMP-101100.04_T4165200
T4165300,UNION_YEMP-101100.05,UNION_YEMP-101100.05_T4165300
T4165400,UNION_YEMP-101100.06,UNION_YEMP-101100.06_T4165400
T4165500,UNION_YEMP-101100.07,UNION_YEMP-101100.07_T4165500
T4165600,UNION_YEMP-101100.08,UNION_YEMP-101100.08_T4165600
T4165700,UNION_YEMP-101100.09,UNION_YEMP-101100.09_T4165700
T4178700,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_T4178700
T4178800,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_T4178800
T4178900,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_T4178900
T4179000,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_T4179000
T4179100,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_T4179100
T4179200,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_T4179200
T4179300,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_T4179300
T4179400,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_T4179400
T4179500,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_T4179500
T4764501,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_T4764501
T4764502,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_T4764502
T4764601,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_T4764601
T4764602,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_T4764602
T4764701,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_T4764701
T4764702,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_T4764702
T4764801,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_T4764801
T4764802,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_T4764802
T4764901,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_T4764901
T4764902,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_T4764902
T4765001,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_T4765001
T4765002,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_T4765002
T4765101,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_T4765101
T4765102,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_T4765102
T4765201,YEMP_STOPDATE.08~M,YEMP_STOPDATE.08~M_T4765201
T4765202,YEMP_STOPDATE.08~Y,YEMP_STOPDATE.08~Y_T4765202
T4765301,YEMP_STOPDATE.09~M,YEMP_STOPDATE.09~M_T4765301
T4765302,YEMP_STOPDATE.09~Y,YEMP_STOPDATE.09~Y_T4765302
T4782201,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_T4782201
T4782202,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_T4782202
T4782301,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_T4782301
T4782302,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_T4782302
T4782401,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_T4782401
T4782402,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_T4782402
T4782501,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_T4782501
T4782502,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_T4782502
T4782601,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_T4782601
T4782602,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_T4782602
T4782701,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_T4782701
T4782702,YEMP_STARTDATE.06~Y,YEMP_STARTDATE.06~Y_T4782702
T4782801,YEMP_STARTDATE.07~M,YEMP_STARTDATE.07~M_T4782801
T4782802,YEMP_STARTDATE.07~Y,YEMP_STARTDATE.07~Y_T4782802
T4782901,YEMP_STARTDATE.08~M,YEMP_STARTDATE.08~M_T4782901
T4782902,YEMP_STARTDATE.08~Y,YEMP_STARTDATE.08~Y_T4782902
T4783001,YEMP_STARTDATE.09~M,YEMP_STARTDATE.09~M_T4783001
T4783002,YEMP_STARTDATE.09~Y,YEMP_STARTDATE.09~Y_T4783002
T5201400,CV_AGE_INT_DATE,CV_AGE_INT_DATE_T5201400
T5206700,HIGHEST-GRADE_EVER_EDT,HIGHEST-GRADE_EVER_EDT_T5206700
T5206900,CV_INCOME_FAMILY,CV_INCOME_FAMILY_T5206900
T5208500,CV_HRLY_PAY.01,CV_HRLY_PAY.01_T5208500
T5208600,CV_HRLY_PAY.02,CV_HRLY_PAY.02_T5208600
T5208700,CV_HRLY_PAY.03,CV_HRLY_PAY.03_T5208700
T5208800,CV_HRLY_PAY.04,CV_HRLY_PAY.04_T5208800
T5208900,CV_HRLY_PAY.05,CV_HRLY_PAY.05_T5208900
T5209000,CV_HRLY_PAY.06,CV_HRLY_PAY.06_T5209000
T5209100,CV_HRLY_PAY.07,CV_HRLY_PAY.07_T5209100
T5209200,CV_HRLY_PAY.08,CV_HRLY_PAY.08_T5209200
T5209300,CV_HRLY_PAY.09,CV_HRLY_PAY.09_T5209300
T5211900,CV_URBAN-RURAL,CV_URBAN-RURAL_T5211900
T5583900,COW_YEMP-58500.01,COW_YEMP-58500.01_T5583900
T5584000,COW_YEMP-58500.02,COW_YEMP-58500.02_T5584000
T5584100,COW_YEMP-58500.03,COW_YEMP-58500.03_T5584100
T5584200,COW_YEMP-58500.04,COW_YEMP-58500.04_T5584200
T5584300,COW_YEMP-58500.05,COW_YEMP-58500.05_T5584300
T5584400,COW_YEMP-58500.06,COW_YEMP-58500.06_T5584400
T5584500,COW_YEMP-58500.07,COW_YEMP-58500.07_T5584500
T5584600,COW_YEMP-58500.08,COW_YEMP-58500.08_T5584600
T5797300,UNION_YEMP-101100.01,UNION_YEMP-101100.01_T5797300
T5797400,UNION_YEMP-101100.02,UNION_YEMP-101100.02_T5797400
T5797500,UNION_YEMP-101100.03,UNION_YEMP-101100.03_T5797500
T5797600,UNION_YEMP-101100.04,UNION_YEMP-101100.04_T5797600
T5797700,UNION_YEMP-101100.05,UNION_YEMP-101100.05_T5797700
T5797800,UNION_YEMP-101100.06,UNION_YEMP-101100.06_T5797800
T5797900,UNION_YEMP-101100.07,UNION_YEMP-101100.07_T5797900
T5798000,UNION_YEMP-101100.08,UNION_YEMP-101100.08_T5798000
T5798100,UNION_YEMP-101100.09,UNION_YEMP-101100.09_T5798100
T5808400,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_T5808400
T5808500,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_T5808500
T5808600,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_T5808600
T5808700,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_T5808700
T5808800,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_T5808800
T5808900,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_T5808900
T5809000,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_T5809000
T5809100,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_T5809100
T5809200,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_T5809200
T6405901,YEMP_STOPDATE.01~M,YEMP_STOPDATE.01~M_T6405901
T6405902,YEMP_STOPDATE.01~Y,YEMP_STOPDATE.01~Y_T6405902
T6406001,YEMP_STOPDATE.02~M,YEMP_STOPDATE.02~M_T6406001
T6406002,YEMP_STOPDATE.02~Y,YEMP_STOPDATE.02~Y_T6406002
T6406101,YEMP_STOPDATE.03~M,YEMP_STOPDATE.03~M_T6406101
T6406102,YEMP_STOPDATE.03~Y,YEMP_STOPDATE.03~Y_T6406102
T6406201,YEMP_STOPDATE.04~M,YEMP_STOPDATE.04~M_T6406201
T6406202,YEMP_STOPDATE.04~Y,YEMP_STOPDATE.04~Y_T6406202
T6406301,YEMP_STOPDATE.05~M,YEMP_STOPDATE.05~M_T6406301
T6406302,YEMP_STOPDATE.05~Y,YEMP_STOPDATE.05~Y_T6406302
T6406401,YEMP_STOPDATE.06~M,YEMP_STOPDATE.06~M_T6406401
T6406402,YEMP_STOPDATE.06~Y,YEMP_STOPDATE.06~Y_T6406402
T6406501,YEMP_STOPDATE.07~M,YEMP_STOPDATE.07~M_T6406501
T6406502,YEMP_STOPDATE.07~Y,YEMP_STOPDATE.07~Y_T6406502
