R0000100,PUBID,PUBID_R0000100
R4767000,UNION_YEMP-101100.03,UNION_YEMP-101100.03_R4767000
R4767100,UNION_YEMP-101100.04,UNION_YEMP-101100.04_R4767100
R4767200,UNION_YEMP-101100.05,UNION_YEMP-101100.05_R4767200
R4767300,UNION_YEMP-101100.06,UNION_YEMP-101100.06_R4767300
R4767400,UNION_YEMP-101100.07,UNION_YEMP-101100.07_R4767400
R4767500,UNION_YEMP-101100.08,UNION_YEMP-101100.08_R4767500
R4767600,UNION_YEMP-101100.09,UNION_YEMP-101100.09_R4767600
R4771900,JOB-SATISFACTION_YEMP-101200.01,JOB-SATISFACTION_YEMP-101200.01_R4771900
R4772000,JOB-SATISFACTION_YEMP-101200.02,JOB-SATISFACTION_YEMP-101200.02_R4772000
R4772100,JOB-SATISFACTION_YEMP-101200.03,JOB-SATISFACTION_YEMP-101200.03_R4772100
R4772200,JOB-SATISFACTION_YEMP-101200.04,JOB-SATISFACTION_YEMP-101200.04_R4772200
R4772300,JOB-SATISFACTION_YEMP-101200.05,JOB-SATISFACTION_YEMP-101200.05_R4772300
R4772400,JOB-SATISFACTION_YEMP-101200.06,JOB-SATISFACTION_YEMP-101200.06_R4772400
R4772500,JOB-SATISFACTION_YEMP-101200.07,JOB-SATISFACTION_YEMP-101200.07_R4772500
R4772600,JOB-SATISFACTION_YEMP-101200.08,JOB-SATISFACTION_YEMP-101200.08_R4772600
R4772700,JOB-SATISFACTION_YEMP-101200.09,JOB-SATISFACTION_YEMP-101200.09_R4772700
R5310101,YEMP_STARTDATE.01~M,YEMP_STARTDATE.01~M_R5310101
R5310102,YEMP_STARTDATE.01~Y,YEMP_STARTDATE.01~Y_R5310102
R5310201,YEMP_STARTDATE.02~M,YEMP_STARTDATE.02~M_R5310201
R5310202,YEMP_STARTDATE.02~Y,YEMP_STARTDATE.02~Y_R5310202
R5310301,YEMP_STARTDATE.03~M,YEMP_STARTDATE.03~M_R5310301
R5310302,YEMP_STARTDATE.03~Y,YEMP_STARTDATE.03~Y_R5310302
R5310401,YEMP_STARTDATE.04~M,YEMP_STARTDATE.04~M_R5310401
R5310402,YEMP_STARTDATE.04~Y,YEMP_STARTDATE.04~Y_R5310402
R5310501,YEMP_STARTDATE.05~M,YEMP_STARTDATE.05~M_R5310501
R5310502,YEMP_STARTDATE.05~Y,YEMP_STARTDATE.05~Y_R5310502
R5310601,YEMP_STARTDATE.06~M,YEMP_STARTDATE.06~M_R5310601
